Дата;Регион;Значение
2019-02-01;Ханты-Мансийский АО - Югра;74074
2019-02-01;Челябинская область;37358
2019-02-01;Чеченская Республика;95415
2019-02-01;Чувашская Республика;39753
2019-02-01;Чукотский АО;110438
2019-02-01;Ямало-Ненецкий АО;90909
2019-02-01;Ярославская область;45773
2019-03-01;Россия;54118
2019-03-01;Адыгея;39594
2019-03-01;Алтай;46154
2019-03-01;Алтайский край;42261
2019-03-01;Амурская область;65738
2019-03-01;Архангельская область;46000
2019-03-01;Астраханская область;40779
2019-03-01;Белгородская область;51463
2019-03-01;Брянская область;36808
2019-03-01;Владимирская область;38295
2019-03-01;Волгоградская область;45161
2019-03-01;Вологодская область;42065
2019-03-01;Воронежская область;45238
2019-03-01;Еврейская автономная область;36481
2019-03-01;Забайкальский край;46713
2019-03-01;Ивановская область;39485
2019-03-01;Иркутская область;43230
2019-03-01;Кабардино-Балкарская Республика;43418
2019-03-01;Калининградская область;54863
2019-03-01;Калужская область;55082
2019-03-01;Камчатский край;61778
2019-03-01;Кемеровская область;45833
2019-03-01;Кировская область;40957
2019-03-01;Костромская область;44000
2019-03-01;Краснодарский край;71050
2019-03-01;Красноярский край;53659
2019-03-01;Курганская область;35000
2019-03-01;Курская область;43012
2019-03-01;Ленинградская область;70300
2019-03-01;Липецкая область;44141
2019-03-01;Магаданская область;49425
2019-03-01;Мордовия;42553
2019-03-01;Москва;184762
2019-03-01;Московская область;84985
2019-03-01;Мурманская область;46396
2019-03-01;Ненецкий АО;67317
2019-03-01;Нижегородская область;55944
2019-03-01;Новгородская область;40781
2019-03-01;Новосибирская область;65109
2019-03-01;Омская область;42632
2019-03-01;Оренбургская область;40746
2019-03-01;Орловская область;42584
2019-03-01;Пензенская область;46176
2019-03-01;Пермский край;44186
2019-03-01;Приморский край;87302
2019-03-01;Псковская область;37755
2019-03-01;Республика Башкортостан;45361
2019-03-01;Республика Бурятия;50359
2019-03-01;Республика Дагестан;42686
2019-03-01;Республика Калмыкия;32322
2019-03-01;Республика Карачаево-Черкессия;45455
2019-03-01;Республика Карелия;43029
2019-03-01;Республика Коми;51016
2019-03-01;Республика Марий Эл;34689
2019-03-01;Республика Саха (Якутия);75000
2019-03-01;Республика Северная Осетия-Алания;40778
2019-03-01;Республика Татарстан;63924
2019-03-01;Республика Тыва;63235
2019-03-01;Республика Хакасия;37939
2019-03-01;Ростовская область;44945
2019-03-01;Рязанская область;42391
2019-03-01;Самарская область;48129
2019-03-01;Санкт-Петербург;112000
2019-03-01;Саратовская область;38462
2019-03-01;Сахалинская область;107226
2019-03-01;Свердловская область;45110
2019-03-01;Смоленская область;39063
2019-03-01;Ставропольский край;40909
2019-03-01;Тамбовская область;39989
2019-03-01;Тверская область;46074
2019-03-01;Томская область;53982
2019-03-01;Тульская область;53014
2019-03-01;Тюменская область;63191
2019-03-01;Удмуртская Республика;45111
2019-03-01;Ульяновская область;37138
2019-03-01;Хабаровский край;51602
2019-03-01;Ханты-Мансийский АО - Югра;74753
2019-03-01;Челябинская область;34310
2019-03-01;Чеченская Республика;45893
2019-03-01;Чувашская Республика;41754
2019-03-01;Ямало-Ненецкий АО;82918
2019-03-01;Ярославская область;45455
2019-04-01;Россия;57609
2019-04-01;Адыгея;40476
2019-04-01;Алтай;44756
2019-04-01;Алтайский край;45191
2019-04-01;Амурская область;68333
2019-04-01;Архангельская область;49172
2019-04-01;Астраханская область;38542
2019-04-01;Белгородская область;49194
2019-04-01;Брянская область;36249
2019-04-01;Владимирская область;40000
2019-04-01;Волгоградская область;44895
2019-04-01;Вологодская область;43333
2019-04-01;Воронежская область;47222
2019-04-01;Еврейская автономная область;38545
2019-04-01;Забайкальский край;45192
2019-04-01;Ивановская область;41803
2019-04-01;Иркутская область;52498
2019-04-01;Кабардино-Балкарская Республика;39595
2019-04-01;Калининградская область;50000
2019-04-01;Калужская область;55822
2019-04-01;Камчатский край;61583
2019-04-01;Кемеровская область;39971
2019-04-01;Кировская область;44799
2019-04-01;Костромская область;43539
2019-04-01;Краснодарский край;71642
2019-04-01;Красноярский край;55189
2019-04-01;Курганская область;35938
2019-04-01;Курская область;43222
2019-04-01;Ленинградская область;82226
2019-04-01;Липецкая область;44547
2019-04-01;Магаданская область;51122
2019-04-01;Мордовия;42122
