Дата;Регион;Значение
2019-11-01;Ханты-Мансийский АО - Югра;75121
2019-11-01;Челябинская область;35452
2019-11-01;Чеченская Республика;44416
2019-11-01;Чувашская Республика;44563
2019-11-01;Чукотский АО;102484
2019-11-01;Ямало-Ненецкий АО;88789
2019-11-01;Ярославская область;47619
2019-12-01;Россия;62119
2019-12-01;Адыгея;42857
2019-12-01;Алтай;47260
2019-12-01;Алтайский край;47479
2019-12-01;Амурская область;74528
2019-12-01;Архангельская область;58608
2019-12-01;Астраханская область;39493
2019-12-01;Белгородская область;52717
2019-12-01;Брянская область;37862
2019-12-01;Владимирская область;41868
2019-12-01;Волгоградская область;47049
2019-12-01;Вологодская область;44444
2019-12-01;Воронежская область;46208
2019-12-01;Еврейская автономная область;42309
2019-12-01;Забайкальский край;53827
2019-12-01;Ивановская область;41990
2019-12-01;Иркутская область;55980
2019-12-01;Кабардино-Балкарская Республика;43463
2019-12-01;Калининградская область;58333
2019-12-01;Калужская область;55952
2019-12-01;Камчатский край;67589
2019-12-01;Кемеровская область;44231
2019-12-01;Кировская область;40207
2019-12-01;Костромская область;45840
2019-12-01;Краснодарский край;71111
2019-12-01;Красноярский край;57269
2019-12-01;Курганская область;36174
2019-12-01;Курская область;45615
2019-12-01;Ленинградская область;80500
2019-12-01;Липецкая область;44456
2019-12-01;Магаданская область;50439
2019-12-01;Мордовия;43427
2019-12-01;Москва;187500
2019-12-01;Московская область;94525
2019-12-01;Мурманская область;53651
2019-12-01;Ненецкий АО;59674
2019-12-01;Нижегородская область;60234
2019-12-01;Новгородская область;40789
2019-12-01;Новосибирская область;64151
2019-12-01;Омская область;44531
2019-12-01;Оренбургская область;39932
2019-12-01;Орловская область;43182
2019-12-01;Пензенская область;46667
2019-12-01;Пермский край;47727
2019-12-01;Приморский край;98804
2019-12-01;Псковская область;38117
2019-12-01;Республика Башкортостан;49242
2019-12-01;Республика Бурятия;52101
2019-12-01;Республика Дагестан;47310
2019-12-01;Республика Ингушетия;29776
2019-12-01;Республика Калмыкия;33784
2019-12-01;Республика Карачаево-Черкессия;48102
2019-12-01;Республика Карелия;48131
2019-12-01;Республика Коми;49254
2019-12-01;Республика Марий Эл;35840
2019-12-01;Республика Саха (Якутия);84065
2019-12-01;Республика Северная Осетия-Алания;43119
2019-12-01;Республика Татарстан;68128
2019-12-01;Республика Тыва;69378
2019-12-01;Республика Хакасия;48235
2019-12-01;Ростовская область;55263
2019-12-01;Рязанская область;42564
2019-12-01;Самарская область;43401
2019-12-01;Санкт-Петербург;120915
2019-12-01;Саратовская область;39407
2019-12-01;Сахалинская область;115909
2019-12-01;Свердловская область;65426
2019-12-01;Смоленская область;39677
2019-12-01;Ставропольский край;45833
2019-12-01;Тамбовская область;43103
2019-12-01;Тверская область;48640
2019-12-01;Томская область;57818
2019-12-01;Тульская область;59563
2019-12-01;Тюменская область;66071
2019-12-01;Удмуртская Республика;49777
2019-12-01;Ульяновская область;40000
2019-12-01;Хабаровский край;61055
2019-12-01;Ханты-Мансийский АО - Югра;75333
2019-12-01;Челябинская область;36364
2019-12-01;Чеченская Республика;45073
2019-12-01;Чувашская Республика;44167
2019-12-01;Чукотский АО;111673
2019-12-01;Ямало-Ненецкий АО;78597
2019-12-01;Ярославская область;49000
2020-01-01;Россия;61039
2020-01-01;Адыгея;42105
2020-01-01;Алтай;47236
2020-01-01;Алтайский край;46684
2020-01-01;Амурская область;75456
2020-01-01;Архангельская область;58056
2020-01-01;Астраханская область;40476
2020-01-01;Белгородская область;55763
2020-01-01;Брянская область;37558
2020-01-01;Владимирская область;41287
2020-01-01;Волгоградская область;45402
2020-01-01;Вологодская область;44092
2020-01-01;Воронежская область;48982
2020-01-01;Еврейская автономная область;38636
2020-01-01;Забайкальский край;54110
2020-01-01;Ивановская область;40892
2020-01-01;Иркутская область;60703
2020-01-01;Кабардино-Балкарская Республика;44365
2020-01-01;Калининградская область;59459
2020-01-01;Калужская область;56000
2020-01-01;Камчатский край;64725
2020-01-01;Кемеровская область;43548
2020-01-01;Кировская область;42538
2020-01-01;Костромская область;46374
2020-01-01;Краснодарский край;66693
2020-01-01;Красноярский край;59091
2020-01-01;Курганская область;36455
2020-01-01;Курская область;45455
2020-01-01;Ленинградская область;81944
2020-01-01;Липецкая область;44643
2020-01-01;Магаданская область;50000
2020-01-01;Мордовия;45556
2020-01-01;Москва;189474
2020-01-01;Московская область;95150
2020-01-01;Мурманская область;48282
2020-01-01;Ненецкий АО;61719
2020-01-01;Нижегородская область;60705
2020-01-01;Новгородская область;40913
2020-01-01;Новосибирская область;66558
2020-01-01;Омская область;44000
2020-01-01;Оренбургская область;39303
2020-01-01;Орловская область;42244
2020-01-01;Пензенская область;46844
2020-01-01;Пермский край;47544
2020-01-01;Приморский край;96260
2020-01-01;Псковская область;37896
2020-01-01;Республика Башкортостан;48276
2020-01-01;Республика Бурятия;54448
2020-01-01;Республика Дагестан;42580
2020-01-01;Республика Ингушетия;29433
2020-01-01;Республика Калмыкия;35000
2020-01-01;Республика Карачаево-Черкессия;47214
2020-01-01;Республика Карелия;47809
2020-01-01;Республика Коми;49895
2020-01-01;Республика Марий Эл;36030
2020-01-01;Республика Саха (Якутия);81818
2020-01-01;Республика Северная Осетия-Алания;43878
2020-01-01;Республика Татарстан;70198
2020-01-01;Республика Тыва;70588
2020-01-01;Республика Хакасия;47523
2020-01-01;Ростовская область;54688
2020-01-01;Рязанская область;41999
2020-01-01;Самарская область;49655
2020-01-01;Санкт-Петербург;122016
2020-01-01;Саратовская область;38636
2020-01-01;Сахалинская область;119697
2020-01-01;Свердловская область;57656
2020-01-01;Смоленская область;39340
2020-01-01;Ставропольский край;47694
2020-01-01;Тамбовская область;44186
2020-01-01;Тверская область;48608
2020-01-01;Томская область;57003
2020-01-01;Тульская область;59000
2020-01-01;Тюменская область;66180
2020-01-01;Удмуртская Республика;48865
2020-01-01;Ульяновская область;38362
2020-01-01;Хабаровский край;57899
2020-01-01;Ханты-Мансийский АО - Югра;75385
2020-01-01;Челябинская область;37226
2020-01-01;Чеченская Республика;45187
2020-01-01;Чувашская Республика;43547
2020-01-01;Чукотский АО;96264
2020-01-01;Ямало-Ненецкий АО;87509
2020-01-01;Ярославская область;47541
2020-02-01;Россия;62612
2020-02-01;Адыгея;42963
2020-02-01;Алтай;51415
2020-02-01;Алтайский край;45455
2020-02-01;Амурская область;77957
2020-02-01;Архангельская область;58000
2020-02-01;Астраханская область;40574
2020-02-01;Белгородская область;54082
2020-02-01;Брянская область;38636
2020-02-01;Владимирская область;44010
2020-02-01;Волгоградская область;45581
2020-02-01;Вологодская область;44394
2020-02-01;Воронежская область;45000
2020-02-01;Еврейская автономная область;39167
2020-02-01;Забайкальский край;55672
2020-02-01;Ивановская область;41376
2020-02-01;Иркутская область;58182
2020-02-01;Кабардино-Балкарская Республика;44545
2020-02-01;Калининградская область;62037
2020-02-01;Калужская область;55952
2020-02-01;Камчатский край;65889
2020-02-01;Кемеровская область;43729
2020-02-01;Кировская область;42424
2020-02-01;Костромская область;48283
2020-02-01;Краснодарский край;66980
2020-02-01;Красноярский край;60000
2020-02-01;Курганская область;35721
2020-02-01;Курская область;45384
2020-02-01;Ленинградская область;89733
2020-02-01;Липецкая область;44046
2020-02-01;Магаданская область;53492
2020-02-01;Мордовия;44922
2020-02-01;Москва;193282
2020-02-01;Московская область;98544
2020-02-01;Мурманская область;49167
2020-02-01;Ненецкий АО;61338
2020-02-01;Нижегородская область;60464
2020-02-01;Новгородская область;41667
2020-02-01;Новосибирская область;66950
2020-02-01;Омская область;44199
2020-02-01;Оренбургская область;41033
2020-02-01;Орловская область;43210
2020-02-01;Пензенская область;47561
2020-02-01;Пермский край;46341
2020-02-01;Приморский край;93394
2020-02-01;Псковская область;37982
2020-02-01;Республика Башкортостан;51209
2020-02-01;Республика Бурятия;55590
2020-02-01;Республика Дагестан;45364
2020-02-01;Республика Ингушетия;30572
2020-02-01;Республика Калмыкия;35000
2020-02-01;Республика Карачаево-Черкессия;48000
2020-02-01;Республика Карелия;48387
2020-02-01;Республика Коми;50962
2020-02-01;Республика Марий Эл;36111
2020-02-01;Республика Саха (Якутия);82963
2020-02-01;Республика Северная Осетия-Алания;44792
2020-02-01;Республика Татарстан;70295
2020-02-01;Республика Тыва;74935
2020-02-01;Республика Хакасия;46083
2020-02-01;Ростовская область;51064
2020-02-01;Рязанская область;44347
2020-02-01;Самарская область;47135
2020-02-01;Санкт-Петербург;121599
2020-02-01;Саратовская область;38095
2020-02-01;Сахалинская область;119889
2020-02-01;Свердловская область;61453
2020-02-01;Смоленская область;40541
2020-02-01;Ставропольский край;48182
2020-02-01;Тамбовская область;43333
2020-02-01;Тверская область;48173
2020-02-01;Томская область;56772
2020-02-01;Тульская область;58995
2020-02-01;Тюменская область;66667
2020-02-01;Удмуртская Республика;47814
2020-02-01;Ульяновская область;39848
2020-02-01;Хабаровский край;59857
2020-02-01;Ханты-Мансийский АО - Югра;77018
2020-02-01;Челябинская область;36557
2020-02-01;Чеченская Республика;45698
2020-02-01;Чувашская Республика;46250
2020-02-01;Чукотский АО;108668
2020-02-01;Ямало-Ненецкий АО;69722
2020-02-01;Ярославская область;47072
2020-03-01;Россия;62636
2020-03-01;Адыгея;50000
2020-03-01;Алтай;48255
2020-03-01;Алтайский край;46296
2020-03-01;Амурская область;75610
2020-03-01;Архангельская область;57631
2020-03-01;Астраханская область;40556
2020-03-01;Белгородская область;54355
2020-03-01;Брянская область;37170
2020-03-01;Владимирская область;40994
2020-03-01;Волгоградская область;45349
2020-03-01;Вологодская область;44595
2020-03-01;Воронежская область;43500
2020-03-01;Еврейская автономная область;36603
2020-03-01;Забайкальский край;55556
2020-03-01;Ивановская область;40323
2020-03-01;Иркутская область;56061
2020-03-01;Кабардино-Балкарская Республика;41538
2020-03-01;Калининградская область;60000
2020-03-01;Калужская область;57031
2020-03-01;Камчатский край;67308
2020-03-01;Кемеровская область;45000
2020-03-01;Кировская область;40500
2020-03-01;Костромская область;48485
2020-03-01;Краснодарский край;65743
2020-03-01;Красноярский край;60227
2020-03-01;Курганская область;37475
2020-03-01;Курская область;45676
2020-03-01;Ленинградская область;87994
2020-03-01;Липецкая область;45135
2020-03-01;Магаданская область;51951
2020-03-01;Мордовия;44545
2020-03-01;Москва;192700
2020-03-01;Московская область;97961
2020-03-01;Мурманская область;47867
2020-03-01;Ненецкий АО;65498
2020-03-01;Нижегородская область;64416
2020-03-01;Новгородская область;42105
2020-03-01;Новосибирская область;66967
2020-03-01;Омская область;44934
2020-03-01;Оренбургская область;40257
2020-03-01;Орловская область;42963
2020-03-01;Пензенская область;47179
2020-03-01;Пермский край;47368
2020-03-01;Приморский край;94000
2020-03-01;Псковская область;38541
2020-03-01;Республика Башкортостан;51707
2020-03-01;Республика Бурятия;54890
2020-03-01;Республика Дагестан;46901
2020-03-01;Республика Ингушетия;30429
2020-03-01;Республика Калмыкия;36859
2020-03-01;Республика Карачаево-Черкессия;48718
2020-03-01;Республика Карелия;48684
2020-03-01;Республика Коми;51053
2020-03-01;Республика Марий Эл;36971
2020-03-01;Республика Саха (Якутия);85185
2020-03-01;Республика Северная Осетия-Алания;43288
2020-03-01;Республика Татарстан;69929
2020-03-01;Республика Тыва;77586
2020-03-01;Республика Хакасия;50654
2020-03-01;Ростовская область;56000
2020-03-01;Рязанская область;50073
2020-03-01;Самарская область;46970
2020-03-01;Санкт-Петербург;121998
2020-03-01;Саратовская область;39167
2020-03-01;Сахалинская область;122598
2020-03-01;Свердловская область;59483
2020-03-01;Смоленская область;40357
2020-03-01;Ставропольский край;47297
2020-03-01;Тамбовская область;43938
2020-03-01;Тверская область;49757
2020-03-01;Томская область;57143
2020-03-01;Тульская область;58824
2020-03-01;Тюменская область;67500
2020-03-01;Удмуртская Республика;48459
2020-03-01;Ульяновская область;39749
2020-03-01;Хабаровский край;64841
2020-03-01;Ханты-Мансийский АО - Югра;76410
2020-03-01;Челябинская область;37300
2020-03-01;Чеченская Республика;46624
2020-03-01;Чувашская Республика;44505
2020-03-01;Чукотский АО;98720
2020-03-01;Ямало-Ненецкий АО;65951
2020-03-01;Ярославская область;45761
2020-04-01;Россия;59160
2020-04-01;Адыгея;44181
2020-04-01;Алтай;49219
2020-04-01;Алтайский край;44874
2020-04-01;Амурская область;77801
2020-04-01;Архангельская область;54654
2020-04-01;Астраханская область;40000
2020-04-01;Белгородская область;55634
2020-04-01;Брянская область;38710
2020-04-01;Владимирская область;38710
2020-04-01;Волгоградская область;46494
2020-04-01;Вологодская область;43578
2020-04-01;Воронежская область;47656
2020-04-01;Еврейская автономная область;39036
2020-04-01;Забайкальский край;54645
2020-04-01;Ивановская область;38372
2020-04-01;Иркутская область;60256
2020-04-01;Кабардино-Балкарская Республика;41091
2020-04-01;Калининградская область;62000
2020-04-01;Калужская область;56977
2020-04-01;Камчатский край;65475
2020-04-01;Кемеровская область;44355
2020-04-01;Кировская область;39057
2020-04-01;Костромская область;47682
2020-04-01;Краснодарский край;64615
2020-04-01;Красноярский край;61224
2020-04-01;Курганская область;36757
2020-04-01;Курская область;45000
2020-04-01;Ленинградская область;87829
2020-04-01;Липецкая область;45238
2020-04-01;Магаданская область;54054
2020-04-01;Мордовия;46013
2020-04-01;Москва;193103
2020-04-01;Московская область;100580
2020-04-01;Мурманская область;48321
2020-04-01;Ненецкий АО;66267
2020-04-01;Нижегородская область;58000
2020-04-01;Новгородская область;41387
2020-04-01;Новосибирская область;68421
2020-04-01;Омская область;44321
2020-04-01;Оренбургская область;39007
2020-04-01;Орловская область;43421
2020-04-01;Пензенская область;49385
2020-04-01;Пермский край;48414
2020-04-01;Приморский край;93193
2020-04-01;Псковская область;38441
2020-04-01;Республика Башкортостан;48925
2020-04-01;Республика Бурятия;55701
2020-04-01;Республика Дагестан;43951
2020-04-01;Республика Ингушетия;30154
2020-04-01;Республика Калмыкия;35227
2020-04-01;Республика Карачаево-Черкессия;50481
2020-04-01;Республика Карелия;49861
2020-04-01;Республика Коми;49715
2020-04-01;Республика Марий Эл;37495
2020-04-01;Республика Саха (Якутия);80488
2020-04-01;Республика Северная Осетия-Алания;42000
2020-04-01;Республика Татарстан;78378
2020-04-01;Республика Тыва;72600
2020-04-01;Республика Хакасия;48131
2020-04-01;Ростовская область;52500
2020-04-01;Рязанская область;45296
2020-04-01;Самарская область;48456
2020-04-01;Санкт-Петербург;123720
2020-04-01;Саратовская область;41071
2020-04-01;Сахалинская область;124359
2020-04-01;Свердловская область;64626
2020-04-01;Смоленская область;40476
2020-04-01;Ставропольский край;47786
2020-04-01;Тамбовская область;45313
2020-04-01;Тверская область;50000
2020-04-01;Томская область;57000
2020-04-01;Тульская область;54507
2020-04-01;Тюменская область;67857
2020-04-01;Удмуртская Республика;48611
2020-04-01;Ульяновская область;39583
2020-04-01;Хабаровский край;63782
2020-04-01;Ханты-Мансийский АО - Югра;74627
2020-04-01;Челябинская область;38612
2020-04-01;Чеченская Республика;45440
2020-04-01;Чувашская Республика;45484
2020-04-01;Чукотский АО;105192
2020-04-01;Ямало-Ненецкий АО;61357
2020-04-01;Ярославская область;46795
2020-05-01;Россия;60000
2020-05-01;Адыгея;45161
2020-05-01;Алтай;50783
2020-05-01;Алтайский край;46460
2020-05-01;Амурская область;78534
2020-05-01;Архангельская область;58876
2020-05-01;Астраханская область;41118
2020-05-01;Белгородская область;54109
2020-05-01;Брянская область;39912
2020-05-01;Владимирская область;40370
2020-05-01;Волгоградская область;48625
2020-05-01;Вологодская область;45000
2020-05-01;Воронежская область;49588
2020-05-01;Еврейская автономная область;39286
2020-05-01;Забайкальский край;56093
2020-05-01;Ивановская область;40476
2020-05-01;Иркутская область;54681
2020-05-01;Кабардино-Балкарская Республика;44104
2020-05-01;Калининградская область;64167
2020-05-01;Калужская область;57143
2020-05-01;Камчатский край;67000
2020-05-01;Кемеровская область;44444
2020-05-01;Кировская область;41667
2020-05-01;Костромская область;48583
2020-05-01;Краснодарский край;64545
2020-05-01;Красноярский край;63547
2020-05-01;Курганская область;36959
2020-05-01;Курская область;46616
2020-05-01;Ленинградская область;88643
2020-05-01;Липецкая область;44571
2020-05-01;Магаданская область;54559
2020-05-01;Мордовия;42283
2020-05-01;Москва;193182
2020-05-01;Московская область;102571
2020-05-01;Мурманская область;48630
2020-05-01;Ненецкий АО;68998
2020-05-01;Нижегородская область;61765
2020-05-01;Новгородская область;43087
2020-05-01;Новосибирская область;67554
2020-05-01;Омская область;45783
2020-05-01;Оренбургская область;39483
2020-05-01;Орловская область;43562
2020-05-01;Пензенская область;48077
2020-05-01;Пермский край;49475
2020-05-01;Приморский край;94860
2020-05-01;Псковская область;39334
2020-05-01;Республика Башкортостан;50000
2020-05-01;Республика Бурятия;55141
2020-05-01;Республика Дагестан;47254
2020-05-01;Республика Ингушетия;38144
2020-05-01;Республика Калмыкия;36750
2020-05-01;Республика Карачаево-Черкессия;45898
2020-05-01;Республика Карелия;50000
2020-05-01;Республика Коми;53922
2020-05-01;Республика Марий Эл;37992
2020-05-01;Республика Саха (Якутия);85526
2020-05-01;Республика Северная Осетия-Алания;41667
2020-05-01;Республика Татарстан;73529
2020-05-01;Республика Тыва;76393
2020-05-01;Республика Хакасия;47368
2020-05-01;Ростовская область;53094
2020-05-01;Рязанская область;45600
2020-05-01;Самарская область;44408
2020-05-01;Санкт-Петербург;123832
2020-05-01;Саратовская область;39474
2020-05-01;Сахалинская область;123684
2020-05-01;Свердловская область;64444
2020-05-01;Смоленская область;40944
2020-05-01;Ставропольский край;49020
2020-05-01;Тамбовская область;44355
2020-05-01;Тверская область;50371
2020-05-01;Томская область;59520
2020-05-01;Тульская область;59858
2020-05-01;Тюменская область;68072
2020-05-01;Удмуртская Республика;48532
2020-05-01;Ульяновская область;40400
2020-05-01;Хабаровский край;67931
2020-05-01;Ханты-Мансийский АО - Югра;74184
2020-05-01;Челябинская область;36923
2020-05-01;Чеченская Республика;45161
2020-05-01;Чувашская Республика;45283
2020-05-01;Чукотский АО;104811
2020-05-01;Ямало-Ненецкий АО;51471
2020-05-01;Ярославская область;46000
2020-06-01;Россия;61250
2020-06-01;Адыгея;44709
2020-06-01;Алтай;49412
2020-06-01;Алтайский край;46053
2020-06-01;Амурская область;81818
2020-06-01;Архангельская область;58312
2020-06-01;Астраханская область;41318
2020-06-01;Белгородская область;53333
2020-06-01;Брянская область;39169
2020-06-01;Владимирская область;42353
2020-06-01;Волгоградская область;46667
2020-06-01;Вологодская область;43116
2020-06-01;Воронежская область;49000
2020-06-01;Еврейская автономная область;41305
2020-06-01;Забайкальский край;57208
2020-06-01;Ивановская область;40325
2020-06-01;Иркутская область;62127
2020-06-01;Кабардино-Балкарская Республика;45000
2020-06-01;Калининградская область;63889
2020-06-01;Калужская область;57674
2020-06-01;Камчатский край;68650
2020-06-01;Кемеровская область;44091
2020-06-01;Кировская область;41667
2020-06-01;Костромская область;48739
2020-06-01;Краснодарский край;78300
2020-06-01;Красноярский край;59871
2020-06-01;Курганская область;37288
2020-06-01;Курская область;47027
2020-06-01;Ленинградская область;93243
2020-06-01;Липецкая область;45340
2020-06-01;Магаданская область;54762
2020-06-01;Мордовия;43416
2020-06-01;Москва;198093
2020-06-01;Московская область;100912
2020-06-01;Мурманская область;47813
2020-06-01;Ненецкий АО;69541
2020-06-01;Нижегородская область;62371
2020-06-01;Новгородская область;42920
2020-06-01;Новосибирская область;68134
2020-06-01;Омская область;46127
2020-06-01;Оренбургская область;40441
2020-06-01;Орловская область;43750
2020-06-01;Пензенская область;49637
2020-06-01;Пермский край;47840
2020-06-01;Приморский край;96250
2020-06-01;Псковская область;38657
2020-06-01;Республика Башкортостан;51000
2020-06-01;Республика Бурятия;56445
2020-06-01;Республика Дагестан;46429
2020-06-01;Республика Ингушетия;35043
2020-06-01;Республика Калмыкия;37563
2020-06-01;Республика Карачаево-Черкессия;49063
2020-06-01;Республика Карелия;50042
2020-06-01;Республика Коми;51669
2020-06-01;Республика Марий Эл;36635
2020-06-01;Республика Саха (Якутия);88298
2020-06-01;Республика Северная Осетия-Алания;43284
2020-06-01;Республика Татарстан;71951
2020-06-01;Республика Тыва;76875
2020-06-01;Республика Хакасия;48499
2020-06-01;Ростовская область;53750
2020-06-01;Рязанская область;45030
2020-06-01;Самарская область;48443
2020-06-01;Санкт-Петербург;125745
2020-06-01;Саратовская область;40256
2020-06-01;Сахалинская область;123256
2020-06-01;Свердловская область;63636
2020-06-01;Смоленская область;40909
2020-06-01;Ставропольский край;49091
2020-06-01;Тамбовская область;45572
2020-06-01;Тверская область;51163
2020-06-01;Томская область;59574
2020-06-01;Тульская область;59556
2020-06-01;Тюменская область;68357
2020-06-01;Удмуртская Республика;49933
2020-06-01;Ульяновская область;41280
2020-06-01;Хабаровский край;69685
2020-06-01;Ханты-Мансийский АО - Югра;74545
2020-06-01;Челябинская область;37715
2020-06-01;Чеченская Республика;46709
2020-06-01;Чувашская Республика;46018
2020-06-01;Чукотский АО;106689
2020-06-01;Ямало-Ненецкий АО;67647
2020-06-01;Ярославская область;47568
2020-07-01;Россия;62500
2020-07-01;Адыгея;45655
2020-07-01;Алтай;52778
2020-07-01;Алтайский край;47000
2020-07-01;Амурская область;82008
2020-07-01;Архангельская область;57954
2020-07-01;Астраханская область;41158
2020-07-01;Белгородская область;54762
2020-07-01;Брянская область;39726
2020-07-01;Владимирская область;38750
2020-07-01;Волгоградская область;47269
2020-07-01;Вологодская область;44496
2020-07-01;Воронежская область;51061
2020-07-01;Еврейская автономная область;39763
2020-07-01;Забайкальский край;58333
2020-07-01;Ивановская область;42500
2020-07-01;Иркутская область;60227
2020-07-01;Кабардино-Балкарская Республика;44554
2020-07-01;Калининградская область;64444
2020-07-01;Калужская область;57903
2020-07-01;Камчатский край;70740
2020-07-01;Кемеровская область;45455
2020-07-01;Кировская область;44286
2020-07-01;Костромская область;49302
2020-07-01;Краснодарский край;82085
2020-07-01;Красноярский край;59048
2020-07-01;Курганская область;37877
2020-07-01;Курская область;47859
2020-07-01;Ленинградская область;91837
2020-07-01;Липецкая область;45439
2020-07-01;Магаданская область;54018
2020-07-01;Мордовия;43421
2020-07-01;Москва;200000
2020-07-01;Московская область;102500
2020-07-01;Мурманская область;48810
2020-07-01;Ненецкий АО;64205
2020-07-01;Нижегородская область;62382
2020-07-01;Новгородская область;43836
2020-07-01;Новосибирская область;66789
2020-07-01;Омская область;47667
2020-07-01;Оренбургская область;41172
2020-07-01;Орловская область;43645
2020-07-01;Пензенская область;49887
2020-07-01;Пермский край;54098
2020-07-01;Приморский край;99071
2020-07-01;Псковская область;38000
2020-07-01;Республика Башкортостан;51563
2020-07-01;Республика Бурятия;57618
2020-07-01;Республика Дагестан;48000
2020-07-01;Республика Ингушетия;33000
2020-07-01;Республика Калмыкия;37209
2020-07-01;Республика Карачаево-Черкессия;48813
2020-07-01;Республика Карелия;50031
2020-07-01;Республика Коми;51724
2020-07-01;Республика Марий Эл;36667
2020-07-01;Республика Саха (Якутия);86792
2020-07-01;Республика Северная Осетия-Алания;42581
2020-07-01;Республика Татарстан;70626
2020-07-01;Республика Тыва;78529
2020-07-01;Республика Хакасия;50000
2020-07-01;Ростовская область;55405
2020-07-01;Рязанская область;46206
2020-07-01;Самарская область;48919
2020-07-01;Санкт-Петербург;124368
2020-07-01;Саратовская область;40625
2020-07-01;Сахалинская область;123995
2020-07-01;Свердловская область;65364
2020-07-01;Смоленская область;40459
2020-07-01;Ставропольский край;49801
2020-07-01;Тамбовская область;46170
2020-07-01;Тверская область;50408
2020-07-01;Томская область;60938
2020-07-01;Тульская область;60372
2020-07-01;Тюменская область;69474
2020-07-01;Удмуртская Республика;48889
2020-07-01;Ульяновская область;40703
2020-07-01;Хабаровский край;67911
2020-07-01;Ханты-Мансийский АО - Югра;75042
2020-07-01;Челябинская область;37749
2020-07-01;Чеченская Республика;45070
2020-07-01;Чувашская Республика;44118
2020-07-01;Чукотский АО;105228
2020-07-01;Ямало-Ненецкий АО;62121
2020-07-01;Ярославская область;46591
2020-08-01;Россия;62500
2020-08-01;Адыгея;46041
2020-08-01;Алтай;54694
2020-08-01;Алтайский край;48173
2020-08-01;Амурская область;80645
2020-08-01;Архангельская область;56991
2020-08-01;Астраханская область;41429
2020-08-01;Белгородская область;55814
2020-08-01;Брянская область;40000
2020-08-01;Владимирская область;35566
2020-08-01;Волгоградская область;46768
2020-08-01;Вологодская область;46086
2020-08-01;Воронежская область;52061
2020-08-01;Еврейская автономная область;41379
2020-08-01;Забайкальский край;58999
2020-08-01;Ивановская область;41440
2020-08-01;Иркутская область;58333
2020-08-01;Кабардино-Балкарская Республика;44142
2020-08-01;Калининградская область;65431
2020-08-01;Калужская область;57887
2020-08-01;Камчатский край;67568
2020-08-01;Кемеровская область;44326
2020-08-01;Кировская область;42845
2020-08-01;Костромская область;49254
2020-08-01;Краснодарский край;79309
2020-08-01;Красноярский край;58140
2020-08-01;Курганская область;38372
2020-08-01;Курская область;48523
2020-08-01;Ленинградская область;95317
2020-08-01;Липецкая область;45290
2020-08-01;Магаданская область;55690
2020-08-01;Мордовия;44250
2020-08-01;Москва;210667
2020-08-01;Московская область;102143
2020-08-01;Мурманская область;48889
2020-08-01;Ненецкий АО;61321
2020-08-01;Нижегородская область;64634
2020-08-01;Новгородская область;44041
2020-08-01;Новосибирская область;69231
2020-08-01;Омская область;47500
2020-08-01;Оренбургская область;41111
2020-08-01;Орловская область;44199
2020-08-01;Пензенская область;49167
2020-08-01;Пермский край;49203
2020-08-01;Приморский край;95339
2020-08-01;Псковская область;40909
2020-08-01;Республика Башкортостан;49881
2020-08-01;Республика Бурятия;57955
2020-08-01;Республика Дагестан;46187
2020-08-01;Республика Ингушетия;30492
2020-08-01;Республика Калмыкия;37176
2020-08-01;Республика Карачаево-Черкессия;49255
2020-08-01;Республика Карелия;50000
2020-08-01;Республика Коми;51432
2020-08-01;Республика Марий Эл;38584
2020-08-01;Республика Саха (Якутия);86798
2020-08-01;Республика Северная Осетия-Алания;43636
2020-08-01;Республика Татарстан;69118
2020-08-01;Республика Тыва;79104
2020-08-01;Республика Хакасия;49881
2020-08-01;Ростовская область;56561
2020-08-01;Рязанская область;46500
2020-08-01;Самарская область;48526
2020-08-01;Санкт-Петербург;126488
2020-08-01;Саратовская область;40476
2020-08-01;Сахалинская область;127517
2020-08-01;Свердловская область;64547
2020-08-01;Смоленская область;41594
2020-08-01;Ставропольский край;50000
2020-08-01;Тамбовская область;44848
2020-08-01;Тверская область;50000
2020-08-01;Томская область;61538
2020-08-01;Тульская область;61111
2020-08-01;Тюменская область;69666
2020-08-01;Удмуртская Республика;50000
2020-08-01;Ульяновская область;41429
2020-08-01;Хабаровский край;71739
2020-08-01;Ханты-Мансийский АО - Югра;75560
2020-08-01;Челябинская область;38462
2020-08-01;Чеченская Республика;44208
2020-08-01;Чувашская Республика;45122
2020-08-01;Чукотский АО;109290
2020-08-01;Ямало-Ненецкий АО;65469
2020-08-01;Ярославская область;43914
2020-09-01;Россия;63492
2020-09-01;Адыгея;46200
2020-09-01;Алтай;54286
2020-09-01;Алтайский край;49284
2020-09-01;Амурская область;84527
2020-09-01;Архангельская область;59091
2020-09-01;Астраханская область;42128
2020-09-01;Белгородская область;56159
2020-09-01;Брянская область;41026
2020-09-01;Владимирская область;37383
2020-09-01;Волгоградская область;48229
2020-09-01;Вологодская область;46927
2020-09-01;Воронежская область;49655
2020-09-01;Еврейская автономная область;40249
2020-09-01;Забайкальский край;60784
2020-09-01;Ивановская область;40984
2020-09-01;Иркутская область;59491
2020-09-01;Кабардино-Балкарская Республика;45455
2020-09-01;Калининградская область;67577
2020-09-01;Калужская область;59104
2020-09-01;Камчатский край;73529
2020-09-01;Кемеровская область;45294
2020-09-01;Кировская область;44444
