Date;Region;Value
2019-02-01;Republic of North Ossetia–Alania;37500
2019-02-01;Republic of Tatarstan;68486
2019-02-01;Republic of Tuva;61213
2019-02-01;Republic of Khakassia;41984
2019-02-01;Rostov Oblast;56716
2019-02-01;Ryazan Oblast;43636
2019-02-01;Samara Oblast;47297
2019-02-01;City of Saint Petersburg;115686
2019-02-01;Saratov Oblast;38627
2019-02-01;Sakhalin Oblast;106667
2019-02-01;Sverdlovsk Oblast;45000
2019-02-01;Smolensk Oblast;40000
2019-02-01;Stavropol Krai;36240
2019-02-01;Tambov Oblast;41176
2019-02-01;Tver Oblast;48000
2019-02-01;Tomsk Oblast;53947
2019-02-01;Tula Oblast;53803
2019-02-01;Tyumen Oblast;62414
2019-02-01;Udmurt Republic;45455
2019-02-01;Ulyanovsk Oblast;37727
2019-02-01;Khabarovsk Krai;69403
2019-02-01;Khanty-Mansi Autonomous Okrug–Yugra;74074
2019-02-01;Chelyabinsk Oblast;37358
2019-02-01;Chechen Republic;95415
2019-02-01;Chuvash Republic — Chuvashia;39753
2019-02-01;Chukotka Autonomous Okrug;110438
2019-02-01;Yamalo-Nenets Autonomous Okrug;90909
2019-02-01;Yaroslavl Oblast;45773
2019-03-01;Russia;54118
2019-03-01;Republic of Adygea;39594
2019-03-01;Altai Republic;46154
2019-03-01;Altai Krai;42261
2019-03-01;Amur Oblast;65738
2019-03-01;Arkhangelsk Oblast;46000
2019-03-01;Astrakhan Oblast;40779
2019-03-01;Belgorod Oblast;51463
2019-03-01;Bryansk Oblast;36808
2019-03-01;Vladimir Oblast;38295
2019-03-01;Volgograd Oblast;45161
2019-03-01;Vologda Oblast;42065
2019-03-01;Voronezh Oblast;45238
2019-03-01;Jewish Autonomous Oblast;36481
2019-03-01;Zabaykalsky Krai;46713
2019-03-01;Ivanovo Oblast;39485
2019-03-01;Irkutsk Oblast;43230
2019-03-01;Kabardino-Balkarian Republic;43418
2019-03-01;Kaliningrad Oblast;54863
2019-03-01;Kaluga Oblast;55082
2019-03-01;Kamchatka Krai;61778
2019-03-01;Kemerovo Oblast;45833
2019-03-01;Kirov Oblast;40957
2019-03-01;Kostroma Oblast;44000
2019-03-01;Krasnodar Krai;71050
2019-03-01;Krasnoyarsk Krai;53659
2019-03-01;Kurgan Oblast;35000
2019-03-01;Kursk Oblast;43012
2019-03-01;Leningrad Oblast;70300
2019-03-01;Lipetsk Oblast;44141
2019-03-01;Magadan Oblast;49425
2019-03-01;Republic of Mordovia;42553
2019-03-01;Moscow;184762
2019-03-01;Moscow Oblast;84985
2019-03-01;Murmansk Oblast;46396
2019-03-01;Nenets Autonomous Okrug;67317
2019-03-01;Nizhny Novgorod Oblast;55944
2019-03-01;Novgorod Oblast;40781
2019-03-01;Novosibirsk Oblast;65109
2019-03-01;Omsk Oblast;42632
2019-03-01;Orenburg Oblast;40746
2019-03-01;Oryol Oblast;42584
2019-03-01;Penza Oblast;46176
2019-03-01;Perm Krai;44186
2019-03-01;Primorsky Krai;87302
2019-03-01;Pskov Oblast;37755
2019-03-01;Republic of Bashkortostan;45361
2019-03-01;Republic of Buryatia;50359
2019-03-01;Republic of Dagestan;42686
2019-03-01;Republic of Kalmykia;32322
2019-03-01;Karachay-Cherkess Republic;45455
2019-03-01;Republic of Karelia;43029
2019-03-01;Komi Republic;51016
2019-03-01;Mari El Republic;34689
2019-03-01;Republic of Sakha (Yakutia);75000
2019-03-01;Republic of North Ossetia–Alania;40778
2019-03-01;Republic of Tatarstan;63924
2019-03-01;Republic of Tuva;63235
2019-03-01;Republic of Khakassia;37939
2019-03-01;Rostov Oblast;44945
2019-03-01;Ryazan Oblast;42391
2019-03-01;Samara Oblast;48129
2019-03-01;City of Saint Petersburg;112000
2019-03-01;Saratov Oblast;38462
2019-03-01;Sakhalin Oblast;107226
2019-03-01;Sverdlovsk Oblast;45110
2019-03-01;Smolensk Oblast;39063
2019-03-01;Stavropol Krai;40909
2019-03-01;Tambov Oblast;39989
2019-03-01;Tver Oblast;46074
2019-03-01;Tomsk Oblast;53982
2019-03-01;Tula Oblast;53014
2019-03-01;Tyumen Oblast;63191
2019-03-01;Udmurt Republic;45111
2019-03-01;Ulyanovsk Oblast;37138
2019-03-01;Khabarovsk Krai;51602
2019-03-01;Khanty-Mansi Autonomous Okrug–Yugra;74753
